system,n,tp,fp,tn,fn,precision,recall,f1,f1_ci_low,f1_ci_high,false_positive_rate,accuracy,brier,ece,threshold
Static proxy,1231,75,6,994,156,0.9259,0.3247,0.4808,0.4063,0.5521,0.006,0.8684,0.094473,0.080975,0.5
Dynamic trace-rule,1231,56,13,987,175,0.8116,0.2424,0.3733,0.3018,0.4479,0.013,0.8473,0.10638,0.08193,0.5
LLM-only,1231,127,57,943,104,0.6902,0.5498,0.612,0.5587,0.6667,0.057,0.8692,0.083126,0.03625,0.5
FaultSeeker++ (Ours),1231,174,132,868,57,0.5686,0.7532,0.648,0.6019,0.693,0.132,0.8465,0.152401,0.247706,0.5
-FAEGL,1231,173,121,879,58,0.5884,0.7489,0.659,0.6136,0.7054,0.121,0.8546,0.097267,0.078134,0.5
-TIG graph,1231,181,129,871,50,0.5839,0.7835,0.6691,0.6231,0.713,0.129,0.8546,0.160673,0.269339,0.5
-Learned calib,1231,207,163,837,24,0.5595,0.8961,0.6889,0.6486,0.731,0.163,0.8481,0.149628,0.247812,0.5
-LLM routing,1231,174,132,868,57,0.5686,0.7532,0.648,0.6019,0.693,0.132,0.8465,0.152401,0.247706,0.5
