system,transactions,tp,fp,tn,fn,precision,recall,f1,f1_ci_low,f1_ci_high,false_positive_rate,mean_score
Full system (Ours),1231,190,29,971,41,0.868,0.823,0.844,0.808,0.879,0.029,measured
Without FAEGL,1231,189,29,971,42,0.867,0.818,0.842,0.806,0.877,0.029,measured
Without graph/TIG,1231,216,147,853,15,0.595,0.935,0.727,0.689,0.766,0.147,measured
Without learned calibration,1231,229,191,809,2,0.545,0.991,0.704,0.665,0.744,0.191,measured
Without adversarial hardening,1231,190,29,971,41,0.868,0.823,0.844,0.808,0.879,0.029,measured
Without LLM routing,1231,190,29,971,41,0.868,0.823,0.844,0.808,0.879,0.029,measured
